title,release_year,results
Despicable Me 3,2017,"[{'_id': '61e5b3d7a66e5964234d9ab5', 'id': 'tt2334871', 'primaryImage': {'id': 'rm4196283136', 'width': 2025, 'height': 3000, 'url': 'https://m.media-amazon.com/images/M/MV5BZTI5NWY1YTQtODYxMi00M2VmLTgzNDQtMGM3NWU5YjViNDE5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg', 'caption': {'plainText': 'Goldie Hawn and Amy Schumer in Snatched (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Snatched', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Snatched', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 5, 'year': 2017, '__typename': 'ReleaseDate'}}]"
The House,2017,[]
The Little Hours,2017,"[{'_id': '61e5bce7971a4a15d64fbf15', 'id': 'tt4218696', 'primaryImage': {'id': 'rm1652764928', 'width': 1012, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMTc5ODMyNzE4OF5BMl5BanBnXkFtZTgwNTM0Mzc4MTI@._V1_.jpg', 'caption': {'plainText': 'John Cena and Aaron Taylor-Johnson in The Wall (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Wall', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Wall', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 8, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}, {'_id': '61e5d34978c012aa345517e1', 'id': 'tt7578246', 'primaryImage': None, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Wall', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Wall', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 27, 'month': 10, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Inconceivable,2017,[]
2:22,2017,"[{'_id': '61e5b3ae971a4a15d64d93e9', 'id': 'tt2316204', 'primaryImage': {'id': 'rm1822316544', 'width': 2025, 'height': 3000, 'url': 'https://m.media-amazon.com/images/M/MV5BYzVkMjRhNzctOGQxMC00OGE2LWJhN2EtNmYyODRiMDNlM2ZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg', 'caption': {'plainText': 'Alien: Covenant (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Alien: Covenant', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Alien: Covenant', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 18, 'month': 5, 'year': 2017, '__typename': 'ReleaseDate'}}]"
A Ghost Story,2017,"[{'_id': '61e5c5598a5a6a599f51c697', 'id': 'tt6003368', 'primaryImage': {'id': 'rm539712000', 'width': 600, 'height': 889, 'url': 'https://m.media-amazon.com/images/M/MV5BYmMyZDRlNDktMDVmMS00Mjc2LThkNTctZWEyMTY2MjVjZmY5XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_.jpg', 'caption': {'plainText': 'Alicia Silverstone, Tom Everett Scott, Charlie Wright, Jason Drucker, Dylan Walters, and Wyatt Walters in Diary of a Wimpy Kid: The Long Haul (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Diary of a Wimpy Kid: The Long Haul', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Diary of a Wimpy Kid: The Long Haul', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 10, 'month': 8, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Spider-Man: Homecoming,2017,"[{'_id': '61e5c0a0e1a8ddbd9650a24d', 'id': 'tt5001718', 'primaryImage': {'id': 'rm2780639232', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMjAzMTE1NzQxNF5BMl5BanBnXkFtZTgwNjcwODY3MTI@._V1_.jpg', 'caption': {'plainText': 'Nick Robinson and Amandla Stenberg in Everything, Everything (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Everything, Everything', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Everything, Everything', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 17, 'month': 8, 'year': 2017, '__typename': 'ReleaseDate'}}]"
War for the Planet of the Apes,2017,[]
Wish Upon,2017,"[{'_id': '61e5a68b971a4a15d64a5e93', 'id': 'tt1469304', 'primaryImage': {'id': 'rm4185598464', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BNTA4MjQ0ODQzNF5BMl5BanBnXkFtZTgwNzA5NjYzMjI@._V1_.jpg', 'caption': {'plainText': 'Dwayne Johnson, Alexandra Daddario, Zac Efron, Ilfenesh Hadera, Jon Bass, and Kelly Rohrbach in Baywatch (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Baywatch', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Baywatch', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 1, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Dunkirk,2017,"[{'_id': '61e5ae87d8f3c0931e4c552f', 'id': 'tt1790809', 'primaryImage': {'id': 'rm337719808', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@._V1_.jpg', 'caption': {'plainText': 'Johnny Depp, Javier Bardem, Geoffrey Rush, Kaya Scodelario, and Brenton Thwaites in Pirates of the Caribbean: Dead Men Tell No Tales (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': ""Pirates of the Caribbean: Salazar's Revenge"", '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Pirates of the Caribbean: Dead Men Tell No Tales', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 24, 'month': 5, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Girls Trip,2017,"[{'_id': '61e5bf04b597b91eb9503a75', 'id': 'tt4653272', 'primaryImage': {'id': 'rm1880831744', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMjM0ODE5NDc2NF5BMl5BanBnXkFtZTgwODYyNDExMjI@._V1_.jpg', 'caption': {'plainText': 'Eliades Ochoa in Buena Vista Social Club: Adios (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Buena Vista Social Club: Adios', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Buena Vista Social Club: Adios', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 29, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
First Kill,2017,"[{'_id': '61e5bf84ef99b1c5435059d5', 'id': 'tt4758646', 'primaryImage': {'id': 'rm3789368064', 'width': 675, 'height': 1000, 'url': 'https://m.media-amazon.com/images/M/MV5BMTcyMzgwNDE1M15BMl5BanBnXkFtZTgwMDAzMDM0MjI@._V1_.jpg', 'caption': {'plainText': 'Brad Pitt, Anthony Michael Hall, Daniel Betts, Topher Grace, Anthony Hayes, Emory Cohen, John Magaro, Aymen Hamdouchi, and RJ Cyler in War Machine (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'War Machine', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'War Machine', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 26, 'month': 5, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Atomic Blonde,2017,"[{'_id': '61e58524cffb8f2faa423883', 'id': 'tt0451279', 'primaryImage': {'id': 'rm1317819648', 'width': 2025, 'height': 3000, 'url': 'https://m.media-amazon.com/images/M/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'caption': {'plainText': 'Gal Gadot in Wonder Woman (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Wonder Woman', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Wonder Woman', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 15, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
The Emoji Movie,2017,"[{'_id': '61e5b19095801a78bc4d132f', 'id': 'tt2091256', 'primaryImage': {'id': 'rm2452372480', 'width': 1012, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMjE1MzM2NzgzNV5BMl5BanBnXkFtZTgwODU3NTI0MTI@._V1_.jpg', 'caption': {'plainText': 'Ed Helms in Captain Underpants: The First Epic Movie (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Kapitein Onderbroek', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Captain Underpants: The First Epic Movie', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 10, 'year': 2017, '__typename': 'ReleaseDate'}}]"
An Inconvenient Sequel: Truth to Power,2017,[]
Detroit,2017,"[{'_id': '61e5b3f1909c2ca7814da3a5', 'id': 'tt2345759', 'primaryImage': {'id': 'rm3980788736', 'width': 1293, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTkwMTgwODAxMl5BMl5BanBnXkFtZTgwNTEwNTQ3MDI@._V1_.jpg', 'caption': {'plainText': 'The Mummy (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Mummy', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Mummy', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 8, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Brigsby Bear,2017,"[{'_id': '61e5bf37b597b91eb950464b', 'id': 'tt4695012', 'primaryImage': {'id': 'rm1817065216', 'width': 1015, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMjQ3MDA0ODA2N15BMl5BanBnXkFtZTgwNzg0NzgwMjI@._V1_.jpg', 'caption': {'plainText': 'It Comes at Night (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'It Comes at Night', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'It Comes at Night', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 15, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Menashe,2017,"[{'_id': '61e5bdd9d735dff3f94ff873', 'id': 'tt4411596', 'primaryImage': {'id': 'rm2519478272', 'width': 800, 'height': 1187, 'url': 'https://m.media-amazon.com/images/M/MV5BMzY0YTFlNjMtNDk5MS00MmIxLWJkNjYtZWQwYzk5NjZkZTc1XkEyXkFqcGdeQXVyNDcxNzU3MTE@._V1_.jpg', 'caption': {'plainText': 'Rachel Weisz in My Cousin Rachel (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'My Cousin Rachel', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'My Cousin Rachel', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 22, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
The Dark Tower,2017,"[{'_id': '61e5c02a8a5a6a599f50862f', 'id': 'tt4899370', 'primaryImage': {'id': 'rm3185848320', 'width': 675, 'height': 1000, 'url': 'https://m.media-amazon.com/images/M/MV5BMTUxOTk2NTkxNF5BMl5BanBnXkFtZTgwOTUyOTM3MTI@._V1_.jpg', 'caption': {'plainText': 'Kate Mara in Megan Leavey (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Megan Leavey', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Megan Leavey', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 9, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Kidnap,2017,"[{'_id': '61e5c503909c2ca78151afd9', 'id': 'tt5929750', 'primaryImage': {'id': 'rm129709056', 'width': 1944, 'height': 2880, 'url': 'https://m.media-amazon.com/images/M/MV5BNDU3M2EwZWEtMGQxZS00NmFjLTlhMDItMDU5NGU1MGUyZmVmXkEyXkFqcGdeQXVyNjU2NTMxOTg@._V1_.jpg', 'caption': {'plainText': 'Salma Hayek, John Lithgow, and Connie Britton in Beatriz at Dinner (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Beatriz at Dinner', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Beatriz at Dinner', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 9, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Step,2017,"[{'_id': '61e5ba06d8f3c0931e4f1011', 'id': 'tt3606752', 'primaryImage': {'id': 'rm3965727488', 'width': 1086, 'height': 1609, 'url': 'https://m.media-amazon.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_.jpg', 'caption': {'plainText': 'Owen Wilson, Cristela Alonzo, and Armie Hammer in Cars 3 (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Cars 3', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Cars 3', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 12, 'month': 7, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Wind River,2017,"[{'_id': '61e5bfadb597b91eb95062cd', 'id': 'tt4799050', 'primaryImage': {'id': 'rm424621312', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BODY1NDUzNzY4MV5BMl5BanBnXkFtZTgwNzc3NzcyMjI@._V1_.jpg', 'caption': {'plainText': 'Scarlett Johansson, Kate McKinnon, Zoë Kravitz, Jillian Bell, and Ilana Glazer in Rough Night (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Rough Night', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Rough Night', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 27, 'month': 7, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Armed Response,2017,"[{'_id': '61e5ad39d8f3c0931e4c0679', 'id': 'tt1666185', 'primaryImage': {'id': 'rm1189358336', 'width': 503, 'height': 755, 'url': 'https://m.media-amazon.com/images/M/MV5BMTc5NzQ4NzU4OF5BMl5BanBnXkFtZTgwNTkxMzE0MjI@._V1_.jpg', 'caption': {'plainText': 'Demetrius Shipp Jr. in All Eyez on Me (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'All Eyez on Me', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'All Eyez on Me', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 15, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Annabelle: Creation,2017,"[{'_id': '61e5b6f28a5a6a599f4e547f', 'id': 'tt2932536', 'primaryImage': {'id': 'rm4003240705', 'width': 5498, 'height': 8093, 'url': 'https://m.media-amazon.com/images/M/MV5BYTcyMDRiNDQtODRkMy00YjU0LWEwYTEtMzk3NzIzODYzMjU2XkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_.jpg', 'caption': {'plainText': 'Mandy Moore and Claire Holt in 47 Meters Down (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': '47 Meters Down', '__typename': 'TitleText'}, 'originalTitleText': {'text': '47 Meters Down', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 22, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
The Glass Castle,2017,"[{'_id': '61e5be9d971a4a15d6502689', 'id': 'tt4572792', 'primaryImage': {'id': 'rm1715483904', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMjQ3MjI4OTU1Ml5BMl5BanBnXkFtZTgwMTgwODcyMjI@._V1_.jpg', 'caption': {'plainText': 'Jaeden Martell in The Book of Henry (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Book of Henry', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Book of Henry', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 16, 'month': 6, 'year': 2021, '__typename': 'ReleaseDate'}}]"
The Nut Job 2: Nutty by Nature,2017,"[{'_id': '61e5bf36d8f3c0931e504b63', 'id': 'tt4694544', 'primaryImage': {'id': 'rm103101440', 'width': 1500, 'height': 2215, 'url': 'https://m.media-amazon.com/images/M/MV5BMDUwZTZjN2YtMTcwNy00YjZiLWExOWMtODU4ZGZhZWY0MTE3XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_.jpg', 'caption': {'plainText': 'Bruce Willis in Once Upon a Time in Venice (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Once Upon a Time in Venice', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Once Upon a Time in Venice', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 16, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Good Time,2017,"[{'_id': '61e5b8f2d735dff3f94ecd87', 'id': 'tt3371366', 'primaryImage': {'id': 'rm1428563968', 'width': 1383, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BN2YwOWM4ODgtZTMzMi00ZmFmLTk5NTEtNmY4ZDcwNzQxNDhjXkEyXkFqcGdeQXVyNTI0NzAyNjY@._V1_.jpg', 'caption': {'plainText': 'Anthony Hopkins, Mark Wahlberg, Erik Aadahl, Jim Carter, Peter Cullen, Laura Haddock, and Isabela Merced in Transformers: The Last Knight (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Transformers: The Last Knight', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Transformers: The Last Knight', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 22, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Ingrid Goes West,2017,"[{'_id': '61e5c363b597b91eb9514a0f', 'id': 'tt5592248', 'primaryImage': {'id': 'rm1294808320', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTg5NjY3NDYxMl5BMl5BanBnXkFtZTgwMjI5ODgyMjI@._V1_.jpg', 'caption': {'plainText': 'Nicole Kidman, Kirsten Dunst, and Elle Fanning in The Beguiled (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Beguiled', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Beguiled', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 7, 'month': 9, 'year': 2017, '__typename': 'ReleaseDate'}}]"
The Only Living Boy in New York,2017,"[{'_id': '61e5c2c5d8f3c0931e51283d', 'id': 'tt5462602', 'primaryImage': {'id': 'rm603010304', 'width': 8100, 'height': 12000, 'url': 'https://m.media-amazon.com/images/M/MV5BZWM4YzZjOTEtZmU5ZS00ZTRkLWFiNjAtZTEwNzIzMDM5MjdmXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_.jpg', 'caption': {'plainText': 'Holly Hunter, Ray Romano, Anupam Kher, Zoe Kazan, Adeel Akhtar, Zenobia Shroff, and Kumail Nanjiani in The Big Sick (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Big Sick', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Big Sick', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 3, 'month': 8, 'year': 2017, '__typename': 'ReleaseDate'}}]"
The Hitman's Bodyguard,2017,[]
Logan Lucky,2017,"[{'_id': '61e5bb5d971a4a15d64f6013', 'id': 'tt3890160', 'primaryImage': {'id': 'rm2955687168', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_.jpg', 'caption': {'plainText': 'Kevin Spacey, Jamie Foxx, Jon Hamm, Eiza González, Lily James, and Ansel Elgort in Baby Driver (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Baby Driver', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Baby Driver', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 29, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Patti Cake$,2017,"[{'_id': '61e5bbb7a66e5964234f731f', 'id': 'tt3967856', 'primaryImage': {'id': 'rm1371613696', 'width': 509, 'height': 755, 'url': 'https://m.media-amazon.com/images/M/MV5BMjQxMTcxNDgxN15BMl5BanBnXkFtZTgwOTczNTIzMjI@._V1_.jpg', 'caption': {'plainText': 'Okja (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Okja', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Okja', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 28, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
Victor Crowley,2017,"[{'_id': '61e5b966e1a8ddbd964ee9b3', 'id': 'tt3469046', 'primaryImage': {'id': 'rm115945472', 'width': 1293, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BNjUyNzQ2MTg3Ml5BMl5BanBnXkFtZTgwNzE4NDM3MTI@._V1_.jpg', 'caption': {'plainText': 'Trey Parker, Steve Carell, Kristen Wiig, Miranda Cosgrove, Dana Gaier, and Nev Scharrel in Despicable Me 3 (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Despicable Me 3', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Despicable Me 3', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 28, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
All Saints,2017,"[{'_id': '61e5be32d735dff3f9500cd5', 'id': 'tt4481514', 'primaryImage': {'id': 'rm1552891136', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTc0NDYwNzU2M15BMl5BanBnXkFtZTgwOTUxNDg0MTI@._V1_.jpg', 'caption': {'plainText': 'Will Ferrell and Amy Poehler in The House (2017)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The House', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The House', '__typename': 'TitleText'}, 'releaseYear': {'year': 2017, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 30, 'month': 6, 'year': 2017, '__typename': 'ReleaseDate'}}]"
