Title,release_year
The Big Tease,1999
Black and White,1999
The Blair Witch Project,1999
Blast from the Past,1999
Blue Streak,1999
Body Shots,1999
The Bone Collector,1999
The Boondock Saints,1999
Bowfinger,1999
Boys Don't Cry,1999
Breakfast of Champions,1999
Bringing Out the Dead,1999
Brokedown Palace,1999
But I'm a Cheerleader,1999
Chill Factor,1999
Chutney Popcorn,1999
The Cider House Rules,1999
Coming Soon,1999
The Corruptor,1999
Cradle Will Rock,1999
Crazy in Alabama,1999
The Crimson Code,1999
Cruel Intentions,1999
Deep Blue Sea,1999
The Deep End of the Ocean,1999
Deterrence,1999
Detroit Rock City,1999
Deuce Bigalow: Male Gigolo,1999
Dick,1999
Dill Scallion,1999
A Dog of Flanders,1999
Dogma,1999
Double Jeopardy,1999
Doug's 1st Movie,1999
Drive Me Crazy,1999
Drop Dead Gorgeous,1999
Dudley Do-Right,1999
EDtv,1999
Election,1999
End of Days,1999
Entrapment,1999
Entropy,1999
eXistenZ,1999
Eye of the Beholder,1999
Eyes Wide Shut,1999
Family of Cops III: Under Suspicion,1999
Fantasia 2000,1999
Fight Club,1999
Flawless,1999
The Florentine,1999
For Love of the Game,1999
Forces of Nature,1999
Friends & Lovers,1999
Galaxy Quest,1999
The General's Daughter,1999
Ghost Dog: The Way of the Samurai,1999
"Girl, Interrupted",1999
Gloria,1999
Go,1999
The Green Mile,1999
Guinevere,1999
"Happy, Texas",1999
The Haunting,1999
Heaven or Vegas,1999
Held Up,1999
The Hi-Line,1999
A Holiday Romance,1999
House on Haunted Hill,1999
The Hurricane,1999
An Ideal Husband,1999
Idle Hands,1999
In Dreams,1999
Inherit the Wind,1999
In Too Deep,1999
The Insider,1999
Inspector Gadget,1999
Instinct,1999
The Iron Giant,1999
Jakob the Liar,1999
Jawbreaker,1999
Jesus' Son,1999
Joe the King,1999
Just a Little Harmless Sex,1999
Just the Ticket,1999
K-911,1999
The King and I,1999
Kiss the Sky,1999
Kiss Toledo Goodbye,1999
Lake Placid,1999
Liberty Heights,1999
Life,1999
Light It Up,1999
Limbo,1999
The Limey,1999
Lost & Found,1999
The Love Letter,1999
Love Stinks,1999
Lovers Lane,1999
Lycanthrope,1999
Magnolia,1999
Man of the Century,1999
Man on the Moon,1999
A Map of the World,1999
The Mating Habits of the Earthbound Human,1999
The Matrix,1999
Message in a Bottle,1999
The Messenger: The Story of Joan of Arc,1999
Mickey Blue Eyes,1999
A Midsummer Night's Dream,1999
Miss Julie,1999
The Mod Squad,1999
Molly,1999
Mr. Death,1999
Mumford,1999
The Mummy,1999
Muppets from Space,1999
The Muse,1999
Music of the Heart,1999
My Favorite Martian,1999
My Voyage to Italy,1999
"Mystery, Alaska",1999
Mystery Men,1999
Never Been Kissed,1999
The Ninth Gate,1999
Ninth Street,1999
Notting Hill,1999
October Sky,1999
Office Space,1999
The Omega Code,1999
One Man's Hero,1999
The Other Sister,1999
"Our Friend, Martin",1999
Outside Providence,1999
P.U.N.K.S.,1999
The Passion of Ayn Rand,1999
Passport to Paris,1999
Payback,1999
Play It to the Bone,1999
Pushing Tin,1999
The Rage: Carrie 2,1999
Random Hearts,1999
Ravenous,1999
Retro Puppet Master,1999
Ride with the Devil,1999
Rites of Passage,1999
Runaway Bride,1999
The Runner,1999
The Secret Pact,1999
She's All That,1999
Silver Wolf,1999
Simon Sez,1999
The Simple Life of Noah Dearborn,1999
Simply Irresistible,1999
The Sixth Sense,1999
Sleepy Hollow,1999
A Slipping-Down Life,1999
Snow Falling on Cedars,1999
"South Park: Bigger, Longer & Uncut",1999
Speedway Junky,1999
Star Wars: Episode I – The Phantom Menace,1999
Stigmata,1999
Stir of Echoes,1999
Storm,1999
The Story of Us,1999
The Straight Story,1999
Stuart Little,1999
The Suburbans,1999
Summer of Sam,1999
Superstar,1999
Sweet and Lowdown,1999
The Talented Mr. Ripley,1999
Tarzan,1999
Teaching Mrs. Tingle,1999
That Championship Season,1999
Thicker than Water,1999
The Thirteenth Floor,1999
The Thirteenth Year,1999
The Thomas Crown Affair,1999
Three Kings,1999
Three to Tango,1999
Titus,1999
Toy Story 2,1999
Trick,1999
Trippin',1999
True Crime,1999
Tumbleweeds,1999
Twin Falls Idaho,1999
Universal Soldier: The Return,1999
Varsity Blues,1999
Velocity Trap,1999
The Virgin Suicides,1999
Virus,1999
The Waiting Game,1999
Wakko's Wish,1999
A Walk on the Moon,1999
Walking Across Egypt,1999
When the Day Breaks,1999
Whiteboyz,1999
Wild Wild West,1999
Wing Commander,1999
Winnie the Pooh: Seasons of Giving,1999
Wisconsin Death Trip,1999
The Woman Chaser,1999
A Woman Scorned,1999
The Wood,1999
The World Is Not Enough,1999
102 Dalmatians,2000
28 Days,2000
3 Strikes,2000
The 6th Day,2000
Across the Line,2000
Adventures in Wild California,2000
The Adventures of Rocky and Bullwinkle,2000
All the Pretty Horses,2000
Almost Famous,2000
American Psycho,2000
Animal Factory,2000
The Art of War,2000
Autumn in New York,2000
Bait,2000
The Ballad of Ramblin' Jack,2000
Bamboozled,2000
Battlefield Earth,2000
The Beach,2000
Beat,2000
Beautiful,2000
Beautiful Joe,2000
Bedazzled,2000
Before Night Falls,2000
Best in Show,2000
Big Momma's House,2000
The Big Tease,2000
Bless the Child,2000
Boiler Room,2000
Book of Shadows: Blair Witch 2,2000
Bounce,2000
Boys and Girls,2000
Bring It On,2000
The Broken Hearts Club: A Romantic Comedy,2000
Brother,2000
Cast Away,2000
Cecil B. Demented,2000
The Cell,2000
Center Stage,2000
Charlie's Angels,2000
Cherry Falls,2000
Chinese Coffee,2000
Chocolat,2000
A Chronicle of Corpses,2000
Chuck & Buck,2000
The Contender,2000
Coyote Ugly,2000
"Crouching Tiger, Hidden Dragon",2000
The Crew,2000
The Crossing,2000
Dancer in the Dark,2000
Digimon: The Movie,2000
Dinosaur,2000
Down to You,2000
Dr. T & the Women,2000
Dracula 2000,2000
Drowning Mona,2000
"Dude, Where's My Car?",2000
Duets,2000
Dungeons & Dragons,2000
The Emperor's New Groove,2000
Erin Brockovich,2000
An Everlasting Piece,2000
The Eyes of Tammy Faye,2000
Fail Safe,2000
The Fantasticks,2000
The Family Man,2000
Final Destination,2000
Finding Forrester,2000
The Flintstones in Viva Rock Vegas,2000
For Love or Country: The Arturo Sandoval Story,2000
Frequency,2000
Get Carter,2000
The Gift,2000
The Girl,2000
Girlfight,2000
Gladiator,2000
The Golden Bowl,2000
Gone in 60 Seconds,2000
Gossip,2000
Gun Shy,2000
Hamlet,2000
Hanging Up,2000
Held Up,2000
Here on Earth,2000
High Fidelity,2000
Highlander: Endgame,2000
Hollow Man,2000
The House of Mirth,2000
How the Grinch Stole Christmas,2000
How to Kill Your Neighbor's Dog,2000
I Dreamed of Africa,2000
Icebreaker,2000
The In Crowd,2000
Into the Arms of Strangers: Stories of the Kindertransport,2000
Isn't She Great,2000
Ivans Xtc,2000
Joe Gould's Secret,2000
Just One Night,2000
Keeping the Faith,2000
The Kid,2000
The Ladies Man,2000
The Last Producer,2000
Legacy,2000
The Legend of Bagger Vance,2000
Little Nicky,2000
The Little Vampire,2000
Long Night's Journey into Day,2000
Loser,2000
Lost Souls,2000
Love & Basketball,2000
Lucky Numbers,2000
Maryam,2000
Maze,2000
"Me, Myself & Irene",2000
Meet the Parents,2000
Memento,2000
Men of Honor,2000
Mercy Streets,2000
The Million Dollar Hotel,2000
Miss Congeniality,2000
Mission to Mars,2000
Mission: Impossible 2,2000
My Dog Skip,2000
My 5 Wives,2000
The Next Best Thing,2000
Next Friday,2000
Nothin' 2 Lose,2000
Nutty Professor II: The Klumps,2000
Nurse Betty,2000
"O Brother, Where Art Thou?",2000
The Opportunists,2000
The Original Kings of Comedy,2000
Our Song,2000
Panic,2000
Passion of Mind,2000
The Patriot,2000
Pay It Forward,2000
The Perfect Storm,2000
Picking Up the Pieces,2000
Pitch Black,2000
Pollock,2000
Poor White Trash,2000
Price of Glory,2000
Prince of Central Park,2000
Proof of Life,2000
Psycho Beach Party,2000
Quills,2000
Ready to Rumble,2000
Reckless Indifference,2000
Red Planet,2000
Reindeer Games,2000
Remember the Titans,2000
The Replacements,2000
Requiem for a Dream,2000
Return to Me,2000
The Road to El Dorado,2000
Road Trip,2000
Romeo Must Die,2000
Rugrats in Paris: The Movie,2000
Rules of Engagement,2000
A Rumor of Angels,2000
The Scarecrow,2000
Scary Movie,2000
Scottsboro: An American Tragedy,2000
Scream 3,2000
Screwed,2000
Seventeen Again,2000
Sexy Beast,2000
Shadow of the Vampire,2000
Shaft,2000
Shanghai Noon,2000
Shriek If You Know What I Did Last Friday the Thirteenth,2000
The Skulls,2000
Small Time Crooks,2000
The Smokers,2000
Snatch,2000
Snow Day,2000
Songcatcher,2000
Sound and Fury,2000
Space Cowboys,2000
The Specials,2000
Steal This Movie!,2000
Supernova,2000
The Tao of Steve,2000
Terror Tract,2000
Things You Can Tell Just by Looking at Her,2000
Thirteen Days,2000
Thomas & the Magic Railroad,2000
Tigerland,2000
The Tigger Movie,2000
Timecode,2000
Titan A.E.,2000
Traffic,2000
Tripfall,2000
Turn It Up,2000
U-571,2000
Unbreakable,2000
Under Suspicion,2000
Up at the Villa,2000
Urban Legends: Final Cut,2000
Vertical Limit,2000
The Visit,2000
Waking the Dead,2000
The Watcher,2000
The Way of the Gun,2000
Whatever It Takes,2000
What Lies Beneath,2000
What Planet Are You From?,2000
What Women Want,2000
Where the Heart Is,2000
Where the Money Is,2000
Whipped,2000
The Whole Nine Yards,2000
Woman on Top,2000
Wonder Boys,2000
X-Men,2000
The Yards,2000
You Can Count on Me,2000
15 Minutes,2001
3 A.M.,2001
3000 Miles to Graceland,2001
61*,2001
A.I. Artificial Intelligence,2001
The Affair of the Necklace,2001
After the Storm,2001
Ali,2001
All Over the Guy,2001
Along Came a Spider,2001
The Amati Girls,2001
America's Sweethearts,2001
The American Astronaut,2001
American Outlaws,2001
American Pie 2,2001
An American Rhapsody,2001
Amy's Orgasm,2001
Angel Eyes,2001
The Animal,2001
The Anniversary Party,2001
Antitrust,2001
Atlantis: The Lost Empire,2001
Baby Boy,2001
Bandits,2001
Bartleby,2001
A Beautiful Mind,2001
Behind Enemy Lines,2001
The Believer,2001
Big Bad Love,2001
Black Hawk Down,2001
Black Knight,2001
Blow,2001
Bones,2001
Boom: The Sound of Eviction,2001
A Boy Named Sue,2001
Brian's Song,2001
The Brothers,2001
Bubble Boy,2001
Buffalo Soldiers,2001
Bully,2001
The Business of Strangers,2001
Call Me Claus,2001
Camouflage,2001
Captain Corelli's Mandolin,2001
The Cat's Meow,2001
Cats & Dogs,2001
The Caveman's Valentine,2001
The Center of the World,2001
A Chronicle of Corpses,2001
Corky Romano,2001
CQ,2001
Crazy/Beautiful,2001
Crocodile Dundee in Los Angeles,2001
Cruel Intentions 2,2001
The Curse of the Jade Scorpion,2001
The Deep End,2001
Delivering Milo,2001
Den,2001
Dogtown and Z-Boys,2001
Domestic Disturbance,2001
Don't Say a Word,2001
Donnie Darko,2001
Double Take,2001
Down to Earth,2001
Dr. Dolittle 2,2001
Driven,2001
Dumb Luck,2001
Earth vs. the Spider,2001
Elvira's Haunted Hills,2001
Enemy at the Gates,2001
Escape from Hell,2001
Evolution,2001
Exit Wounds,2001
The Fast and the Furious,2001
Festival in Cannes,2001
Final Fantasy: The Spirits Within,2001
Finder's Fee,2001
The Fluffer,2001
The Forsaken,2001
Frailty,2001
Freddy Got Fingered,2001
From Hell,2001
Full Frontal,2001
Get Over It,2001
Ghost World,2001
Ghosts of Mars,2001
The Glass House,2001
Glitter,2001
God Didn't Give Me a Week's Notice,2001
Good Neighbor,2001
Gosford Park,2001
Green Dragon,2001
The Grey Zone,2001
Hannibal,2001
Hardball,2001
Harry Potter and the Sorcerer's Stone,2001
Harvard Man,2001
Head Over Heels,2001
Heartbreakers,2001
Hearts in Atlantis,2001
Hedwig and the Angry Inch,2001
Heist,2001
Herman U.S.A.,2001
How High,2001
How to Make a Monster,2001
Human Nature,2001
I Am Sam,2001
In the Bedroom,2001
Jay and Silent Bob Strike Back,2001
Jeepers Creepers,2001
Jimmy Neutron: Boy Genius,2001
The Jimmy Show,2001
Joe Dirt,2001
Joe Somebody,2001
Josie and the Pussycats,2001
Joy Ride,2001
Jurassic Park III,2001
Just Visiting,2001
K-PAX,2001
Kate & Leopold,2001
Kill Me Later,2001
Kingdom Come,2001
Kiss of the Dragon,2001
Kissing Jessica Stein,2001
A Knight's Tale,2001
Knockaround Guys,2001
L.I.E.,2001
Lara Croft: Tomb Raider,2001
The Last Brickmaker in America,2001
The Last Castle,2001
Laughter on the 23rd Floor,2001
Lagaan,2001
Legally Blonde,2001
Life as a House,2001
Lloyd,2001
The Lord of the Rings: The Fellowship of the Ring,2001
The Lost Skeleton of Cadavra,2001
Lovely & Amazing,2001
The Majestic,2001
The Man from Elysian Fields,2001
The Man Who Wasn't There,2001
Max Keeble's Big Move,2001
Megiddo: The Omega Code 2,2001
The Mexican,2001
Mockingbird Don't Sing,2001
Monkeybone,2001
Monsoon Wedding,2001
Monster's Ball,2001
"Monsters, Inc.",2001
A Month of Sundays,2001
Moulin Rouge!,2001
Mulholland Drive,2001
The Mummy Returns,2001
Murder on a Sunday Morning,2001
The Musketeer,2001
My Big Break,2001
My Big Fat Greek Wedding,2001
My First Mister,2001
Not Another Teen Movie,2001
Novocaine,2001
O,2001
Ocean's Eleven,2001
On the Line,2001
The One,2001
One Night at McCool's,2001
Original Sin,2001
Osmosis Jones,2001
The Others,2001
Out Cold,2001
Out of the Black,2001
Pearl Harbor,2001
Perfume,2001
Piñero,2001
Planet of the Apes,2001
The Pledge,2001
Pootie Tang,2001
Prancer Returns,2001
The Princess Diaries,2001
Rat Race,2001
Recess: School's Out,2001
Revolution OS,2001
Riding in Cars with Boys,2001
Rock Star,2001
The Royal Tenenbaums,2001
Rush Hour 2,2001
The Safety of Objects,2001
Save the Last Dance,2001
Saving Silverman,2001
Say It Isn't So,2001
Scary Movie 2,2001
The Score,2001
"Scotland, PA",2001
Scratch,2001
See Spot Run,2001
Serendipity,2001
Session 9,2001
Shallow Hal,2001
She Creature,2001
The Shipping News,2001
Shrek,2001
The Shrink Is In,2001
Sidewalks of New York,2001
Someone Like You,2001
Soul Survivors,2001
Southern Comfort,2001
Southlander,2001
Spy Game,2001
Spy Kids,2001
Storytelling,2001
Sugar & Spice,2001
Summer Catch,2001
Super Troopers,2001
Sweet November,2001
Swordfish,2001
The Tailor of Panama,2001
Tape,2001
Thirteen Conversations About One Thing,2001
Thirteen Ghosts,2001
To End All Wars,2001
Tomcats,2001
Tortilla Soup,2001
Town & Country,2001
Training Day,2001
Two Can Play That Game,2001
Uprising,2001
Valentine,2001
Vanilla Sky,2001
Waking Life,2001
The Wash,2001
The Wedding Planner,2001
West 47th Street,2001
Wet Hot American Summer,2001
What's the Worst That Could Happen?,2001
When Strangers Appear,2001
The Zeros,2001
Zoolander,2001
Spider-Man,2002
The Lord of the Rings: The Two Towers,2002
Star Wars: Episode II - Attack of the Clones,2002
Harry Potter and the Chamber of Secrets,2002
My Big Fat Greek Wedding,2002
Signs,2002
Austin Powers in Goldmember,2002
Men in Black II,2002
Ice Age,2002
Chicago,2002
11:14,2003
101 Dalmatians II: Patch's London Adventure,2003
2 Fast 2 Furious,2003
21 Grams,2003
44 Minutes: The North Hollywood Shoot-Out,2003
Abby Singer,2003
Afro-Punk,2003
Agent Cody Banks,2003
Aileen: Life and Death of a Serial Killer,2003
Alex & Emma,2003
Alien Hunter,2003
All the Real Girls,2003
Amandla!: A Revolution in Four-Part Harmony,2003
American Splendor,2003
American Wedding,2003
Anger Management,2003
Anne B. Real,2003
Anything Else,2003
BAADASSSSS!,2003
Bad Boys II,2003
Bad Santa,2003
Basic,2003
The Battle of Shaker Heights,2003
Bells of Innocence,2003
The Best Two Years,2003
Beyond Borders,2003
Big Fish,2003
Biker Boyz,2003
Black Cadillac,2003
Blind Horizon,2003
Blizzard,2003
Boat Trip,2003
Bringing Down the House,2003
Bringing Rain,2003
Brother Bear,2003
The Brown Bunny,2003
Bruce Almighty,2003
Bulletproof Monk,2003
Camp,2003
Carolina,2003
Casa de los Babys,2003
The Cat in the Hat,2003
Charlie's Angels: Full Throttle,2003
Chasing Papi,2003
Cheaper by the Dozen,2003
Christmas Child,2003
Coffee and Cigarettes,2003
Cold Creek Manor,2003
Cold Mountain,2003
Comandante,2003
The Company,2003
Confidence,2003
The Cooler,2003
The Core,2003
Cosmopolitan,2003
Cradle 2 the Grave,2003
Crime Spree,2003
Daddy Day Care,2003
Daredevil,2003
Dark Blue,2003
Darkness Falls,2003
Deliver Us from Eva,2003
Devil's Pond,2003
Dickie Roberts: Former Child Star,2003
Le Divorce,2003
Down with Love,2003
Dreamcatcher,2003
Dumb and Dumberer: When Harry Met Lloyd,2003
Duplex,2003
Dysfunktional Family,2003
Elephant,2003
Elf,2003
Evil Alien Conquerors,2003
Faster,2003
Festival Express,2003
The Fighting Temptations,2003
Final Destination 2,2003
Finding Nemo,2003
Flywheel,2003
The Fog of War,2003
Freaky Friday,2003
Freddy vs. Jason,2003
From Justin to Kelly,2003
Gang of Roses,2003
Georges Bataille's Story of the Eye,2003
Gigli,2003
Gods and Generals,2003
Good Boy!,2003
Gothika,2003
Grand Theft Parsons,2003
Grind,2003
A Guy Thing,2003
The Haunted Mansion,2003
Head of State,2003
Hey DJ,2003
Holes,2003
Hollywood Homicide,2003
Honey,2003
Hope Springs,2003
House of 1000 Corpses,2003
House of Sand and Fog,2003
House of the Dead,2003
How to Deal,2003
How to Lose a Guy in 10 Days,2003
Hulk,2003
The Human Stain,2003
The Hunted,2003
I Am David,2003
Identity,2003
Imagining Argentina,2003
In the Cut,2003
The In-Laws,2003
Indigo,2003
Intolerable Cruelty,2003
It Runs in the Family,2003
The Italian Job,2003
Jeepers Creepers II,2003
Johnny English,2003
The Jungle Book 2,2003
Just Married,2003
Kangaroo Jack,2003
Kill Bill: Volume 1,2003
Lara Croft Tomb Raider: The Cradle of Life,2003
The Last Samurai,2003
The League of Extraordinary Gentlemen,2003
"Legally Blonde 2: Red, White & Blonde",2003
The Life of David Gale,2003
The Lizzie McGuire Movie,2003
Looney Tunes: Back in Action,2003
The Lord of the Rings: The Return of the King,2003
Lost in Translation,2003
Love Don't Cost a Thing,2003
Malibu's Most Wanted,2003
A Man Apart,2003
Manhood,2003
Marci X,2003
Masked and Anonymous,2003
Master and Commander: The Far Side of the World,2003
Matchstick Men,2003
The Matrix Reloaded,2003
The Matrix Revolutions,2003
May,2003
The Medallion,2003
A Mighty Wind,2003
"Milwaukee, Minnesota",2003
The Missing,2003
Mona Lisa Smile,2003
Monster,2003
Monster Man,2003
My Boss's Daughter,2003
My Flesh and Blood,2003
Mystic River,2003
National Lampoon Presents Dorm Daze,2003
National Lampoon's Gold Diggers,2003
National Security,2003
The Night We Called it a Day,2003
Old School,2003
Once Upon a Time in Mexico,2003
Open Range,2003
Open Water,2003
The Order,2003
Out of Time,2003
Party Monster,2003
Paper Soldiers,2003
Pauly Shore Is Dead,2003
Paycheck,2003
Peter Pan,2003
Phone Booth,2003
Pieces of April,2003
Piglet's Big Movie,2003
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Poolhall Junkies,2003
Prey for Rock & Roll,2003
Puppet Master: The Legacy,2003
Quicksand,2003
Radio,2003
The Real Cancun,2003
The Recruit,2003
The Room,2003
Rugrats Go Wild,2003
Runaway Jury,2003
The Rundown,2003
S.W.A.T.,2003
Scary Movie 3,2003
School of Rock,2003
Seabiscuit,2003
Secondhand Lions,2003
Shade,2003
Shanghai Knights,2003
Shattered Glass,2003
Sinbad: Legend of the Seven Seas,2003
The Singing Detective,2003
Sky Blue,2003
Something's Gotta Give,2003
Spy Kids 3-D: Game Over,2003
The Station Agent,2003
Stealing Christmas,2003
Stuck on You,2003
Tarnation,2003
Tears of the Sun,2003
Terminator 3: Rise of the Machines,2003
Testosterone,2003
The Texas Chainsaw Massacre,2003
Thirteen,2003
This Girl's Life,2003
This Thing of Ours,2003
Timeline,2003
Tupac: Resurrection,2003
Two Days,2003
Uncle Nino,2003
Under the Tuscan Sun,2003
Underworld,2003
Uptown Girls,2003
V-Day: Until the Violence Stops,2003
Veronica Guerin,2003
View from the Top,2003
What a Girl Wants,2003
When Eagles Strike,2003
Willard,2003
Wonderland,2003
Wrong Turn,2003
X2: X-Men United,2003
The Yes Men,2003
The Young Black Stallion,2003
Zero Day,2003
Chasing Liberty,2004
My Baby's Daddy,2004
Along Came Polly,2004
The Goodbye Girl,2004
Pixel Perfect,2004
Teacher's Pet,2004
Torque,2004
Everyday People,2004
The Butterfly Effect,2004
Win a Date with Tad Hamilton!,2004
The Big Bounce,2004
The Perfect Score,2004
You Got Served,2004
6,2004
6,2004
6,2004
50 First Dates,2004
Iron Jawed Angels,2004
Against the Ropes,2004
Clifford's Really Big Movie,2004
Confessions of a Teenage Drama Queen,2004
EuroTrip,2004
Welcome to Mooseport,2004
The Passion of the Christ,2004
Club Dread,2004
Twisted,2004
Hidalgo,2004
Starsky & Hutch,2004
In My Country,2004
Agent Cody Banks 2: Destination London,2004
Secret Window,2004
Spartan,2004
Dawn of the Dead,2004
Eternal Sunshine of the Spotless Mind,2004
Going to the Mat,2004
Taking Lives,2004
Mango Kiss,2004
Dogville,2004
Jersey Girl,2004
The Ladykillers,2004
Ned Kelly,2004
Never Die Alone,2004
Scooby-Doo 2: Monsters Unleashed,2004
Girl Play,2004
Hellboy,2004
Home on the Range,2004
The Prince and Me,2004
Walking Tall,2004
Johnson Family Vacation,2004
The Alamo,2004
Ella Enchanted,2004
The Girl Next Door,2004
The Whole Ten Yards,2004
Connie and Carla,2004
Kill Bill: Volume 2,2004
The Punisher,2004
13 Going on 30,2004
Man on Fire,2004
Bobby Jones: Stroke of Genius,2004
Envy,2004
Godsend,2004
Laws of Attraction,2004
Mean Girls,2004
The Saddest Music in the World,2004
10.5,2004
New York Minute,2004
Off the Lip,2004
Super Size Me,2004
Van Helsing,2004
Breakin' All the Rules,2004
Coffee and Cigarettes,2004
A Slipping-Down Life,2004
Troy,2004
Shrek 2,2004
Stateside,2004
Baadasssss!,2004
The Day After Tomorrow,2004
Raising Helen,2004
Saved!,2004
Soul Plane,2004
Something the Lord Made,2004
Donnie Darko (Director's Cut) (re-release),2004
Harry Potter and the Prisoner of Azkaban,2004
The Chronicles of Riddick,2004
Garfield: The Movie,2004
Napoleon Dynamite,2004
The Stepford Wives,2004
Zenon: Z3,2004
Around the World in 80 Days,2004
DodgeBall: A True Underdog Story,2004
The Terminal,2004
Scooby-Doo! and the Loch Ness Monster,2004
White Chicks,2004
Fahrenheit 9/11,2004
The Notebook,2004
Two Brothers,2004
Spider-Man 2,2004
America's Heart and Soul,2004
Before Sunset,2004
The Clearing,2004
De-Lovely,2004
King Arthur,2004
Anchorman: The Legend of Ron Burgundy,2004
Sleepover,2004
The Door in the Floor,2004
A Cinderella Story,2004
"I, Robot",2004
Stuck in the Suburbs,2004
The Bourne Supremacy,2004
Catwoman,2004
A Home at the End of the World,2004
Garden State,2004
Evel Knievel,2004
Harold & Kumar Go to White Castle,2004
She Hate Me,2004
The Manchurian Candidate,2004
Thunderbirds,2004
The Village,2004
Collateral,2004
Little Black Book,2004
Open Water,2004
Tiger Cruise,2004
The Princess Diaries 2: Royal Engagement,2004
Alien vs. Predator,2004
Yu-Gi-Oh! The Movie: Pyramid of Light,2004
"Mickey, Donald, Goofy: The Three Musketeers",2004
Exorcist: The Beginning,2004
Without a Paddle,2004
Anacondas: The Hunt for the Blood Orchid,2004
Superbabies: Baby Geniuses 2,2004
Suspect Zero,2004
5x2,2004
Vanity Fair,2004
The Cookout,2004
Paparazzi,2004
Warriors of Heaven and Earth,2004
Wicker Park,2004
Cellular,2004
Criminal,2004
Resident Evil: Apocalypse,2004
Saving Face,2004
Mr. 3000,2004
Sky Captain and the World of Tomorrow,2004
Wimbledon,2004
Georges Bataille's Story of the Eye,2004
First Daughter,2004
The Forgotten,2004
The Last Shot,2004
The Motorcycle Diaries,2004
Shaun of the Dead,2004
I Heart Huckabees,2004
Ladder 49,2004
Shark Tale,2004
Bride and Prejudice,2004
Taxi,2004
Around the Bend,2004
Friday Night Lights,2004
Halloweentown High,2004
Raise Your Voice,2004
Being Julia,2004
The Final Cut,2004
Shall We Dance?,2004
Team America: World Police,2004
Growing Pains: Return of the Seavers,2004
The Grudge,2004
Sideways,2004
Surviving Christmas,2004
Vera Drake,2004
Birth,2004
Ray,2004
Saw,2004
Stage Beauty,2004
Alfie,2004
Fade to Black,2004
The Incredibles,2004
Mickey's Twice Upon a Christmas,2004
The Polar Express,2004
After the Sunset,2004
Finding Neverland,2004
Kinsey,2004
Seed of Chucky,2004
Kangaroo Jack: G'Day U.S.A.!,2004
Bridget Jones: The Edge of Reason,2004
National Treasure,2004
The SpongeBob SquarePants Movie,2004
Alexander,2004
Christmas with the Kranks,2004
A Christmas Carol: The Musical,2004
Closer,2004
House of Flying Daggers,2004
Blue Collar Comedy Tour Rides Again,2004
The Life and Death of Peter Sellers,2004
Blade: Trinity,2004
Ocean's Twelve,2004
Million Dollar Baby,2004
Beyond the Sea,2004
Flight of the Phoenix,2004
Lemony Snicket's A Series of Unfortunate Events,2004
Spanglish,2004
Hotel Rwanda,2004
Meet the Fockers,2004
The Aviator,2004
Darkness,2004
Fat Albert,2004
The Life Aquatic with Steve Zissou,2004
The Assassination of Richard Nixon,2004
In Good Company,2004
A Love Song for Bobby Long,2004
White Noise,2005
Coach Carter,2005
Elektra,2005
Now You See It...,2005
Racing Stripes,2005
Tom and Jerry: Blast Off to Mars,2005
Assault on Precinct 13,2005
Are We There Yet?,2005
The Phantom of the Opera,2005
Alone in the Dark,2005
Hide and Seek,2005
Mulan II,2005
Boogeyman,2005
The Wedding Date,2005
"Aloha, Scooby-Doo!",2005
Hitch,2005
Pooh's Heffalump Movie,2005
Lackawanna Blues,2005
Because of Winn-Dixie,2005
Constantine,2005
Son of the Mask,2005
Cursed,2005
Diary of a Mad Black Woman,2005
Man of the House,2005
Be Cool,2005
The Jacket,2005
The Pacifier,2005
Oprah Winfrey Presents Their Eyes Were Watching God,2005
Buffalo Dreams,2005
Hostage,2005
Robots,2005
Ice Princess,2005
The Ring Two,2005
Miss Congeniality 2: Armed and Fabulous,2005
Columbia Pictures / Regency Enterprises,2005
IFC Films,2005
Beauty Shop,2005
Sin City,2005
The Upside of Anger,2005
Fever Pitch,2005
Kim Possible Movie: So the Drama,2005
Sahara,2005
State Property 2,2005
The Amityville Horror,2005
Reefer Madness: The Movie Musical,2005
The Interpreter,2005
King's Ransom,2005
A Lot like Love,2005
The Hitchhiker's Guide to the Galaxy,2005
XXX: State of the Union,2005
Warm Springs,2005
The Sandlot 2,2005
Crash,2005
House of Wax,2005
Jiminy Glick in Lalawood,2005
Kingdom of Heaven,2005
Kicking & Screaming,2005
Mad Hot Ballroom,2005
Mindhunters,2005
Monster-in-Law,2005
Scooby-Doo! in Where's My Mummy?,2005
Unleashed,2005
Star Wars: Episode III – Revenge of the Sith,2005
Dominion: Prequel to the Exorcist,2005
The Muppets' Wizard of Oz,2005
The Longest Yard,2005
Madagascar,2005
The Sisterhood of the Traveling Pants,2005
Cinderella Man,2005
Lords of Dogtown,2005
The Adventures of Sharkboy and Lavagirl in 3-D,2005
Go Figure,2005
The Honeymooners,2005
Mr. & Mrs. Smith,2005
Tarzan II,2005
Batman Begins,2005
The Perfect Man,2005
Herbie: Fully Loaded,2005
Bewitched,2005
Land of the Dead,2005
War of the Worlds,2005
Rebound,2005
Dark Water,2005
Fantastic Four,2005
Charlie and the Chocolate Factory,2005
Life Is Ruff,2005
Wedding Crashers,2005
Bad News Bears,2005
The Devil's Rejects,2005
